"filename", "language", "JavaScript", "PHP", "XML", "CSS", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\localTheatre\private\addTodB_handle.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 11, 28
"c:\xampp\htdocs\localTheatre\private\connection.php", "PHP", 0, 16, 0, 0, 0, 0, 2, 4, 22
"c:\xampp\htdocs\localTheatre\private\login_handle.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\xampp\htdocs\localTheatre\private\logout.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\localTheatre\private\register_handle.php", "PHP", 0, 19, 0, 0, 0, 0, 23, 12, 54
"c:\xampp\htdocs\localTheatre\reviews.php", "PHP", 0, 480, 0, 0, 0, 0, 1, 33, 514
"c:\xampp\htdocs\localTheatre\scss\_notes\dwsync.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_alert.scss", "SCSS", 0, 0, 0, 0, 29, 0, 13, 11, 53
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_badge.scss", "SCSS", 0, 0, 0, 0, 34, 0, 12, 9, 55
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_breadcrumb.scss", "SCSS", 0, 0, 0, 0, 31, 0, 8, 6, 45
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_button-group.scss", "SCSS", 0, 0, 0, 0, 101, 0, 31, 32, 164
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 91, 0, 22, 30, 143
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_card.scss", "SCSS", 0, 0, 0, 0, 198, 0, 37, 52, 287
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_carousel.scss", "SCSS", 0, 0, 0, 0, 142, 0, 30, 26, 198
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_close.scss", "SCSS", 0, 0, 0, 0, 26, 0, 8, 7, 41
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_code.scss", "SCSS", 0, 0, 0, 0, 36, 0, 6, 7, 49
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_custom-forms.scss", "SCSS", 0, 0, 0, 0, 400, 0, 49, 76, 525
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_dropdown.scss", "SCSS", 0, 0, 0, 0, 153, 0, 16, 24, 193
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_forms.scss", "SCSS", 0, 0, 0, 0, 219, 0, 73, 56, 348
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_functions.scss", "SCSS", 0, 0, 0, 0, 95, 0, 24, 26, 145
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_grid.scss", "SCSS", 0, 0, 0, 0, 44, 0, 16, 14, 74
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_images.scss", "SCSS", 0, 0, 0, 0, 22, 0, 13, 8, 43
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_input-group.scss", "SCSS", 0, 0, 0, 0, 130, 0, 30, 33, 193
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_jumbotron.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_list-group.scss", "SCSS", 0, 0, 0, 0, 97, 0, 24, 34, 155
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_media.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\xampp\htdocs\localTheatre\scss\bootstrap\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 32, 0, 9, 7, 48
